C1	C2	C3	C4
A1	B1	1	1
A1	B2	1	1
A1	B3	1	1
A1	B4	1	1
A1	B5	1	1
A1	B6	1	1
A1	B7	1	1
A1	B8	1	1
A1	B9	1	1
A1	B10	1	1
A1	B11	1	1
A1	B12	1	1
A1	B13	1	1
A1	B14	1	1
A1	B15	1	1
A1	B16	1	1
A1	B17	1	1
A1	B18	1	1
A1	B19	1	1
A1	B20	1	1
A1	B21	1	1
A1	B22	1	1
A1	B23	1	1
A1	B24	1	1
A1	B25	1	1
A1	B26	1	1
A1	B27	1	1
A1	B28	1	1
A1	B29	1	1
A1	B30	1	1
A1	B31	1	1
A1	B32	1	1
A1	B33	1	1
A1	B34	1	1
A1	B35	1	1
A1	B36	1	1
A1	B37	1	1
A1	B38	1	1
A1	B39	1	1
A1	B40	1	1
A1	B41	0.9	0.3
A1	B42	0.9	0.3
A1	B43	0.9	0.3
A1	B44	0.9	0.3
A1	B45	0.9	0.3
A1	B46	0.9	0.3
A1	B47	0.9	0.3
A1	B48	0.9	0.3
A1	B49	0.9	0.3
A1	B50	0.9	0.3
A1	B51	0.9	0.3
A1	B52	0.9	0.3
A1	B53	0.9	0.3
A1	B54	0.9	0.3
A1	B55	0.9	0.3
A1	B56	0.9	0.3
A1	B57	0.9	0.3
A1	B58	0.9	0.3
A1	B59	0.9	0.3
A1	B60	0.9	0.3
A1	B61	0.9	0.3
A1	B62	0.9	0.3
A1	B63	0.9	0.3
A1	B64	0.9	0.3
A1	B65	0.9	0.3
A1	B66	0.9	0.3
A1	B67	0.9	0.3
A1	B68	0.9	0.3
A1	B69	0.9	0.3
A1	B70	0.9	0.3
A1	B71	0.9	0.3
A1	B72	0.9	0.3
A1	B73	0.9	0.3
A1	B74	0.9	0.3
A1	B75	0.9	0.3
A1	B76	0.9	0.3
A1	B77	0.9	0.3
A1	B78	0.9	0.3
A1	B79	0.9	0.3
A1	B80	0.9	0.3
A2	B1	1	1
A2	B2	1	1
A2	B3	1	1
A2	B4	1	1
A2	B5	1	1
A2	B6	1	1
A2	B7	1	1
A2	B8	1	1
A2	B9	1	1
A2	B10	1	1
A2	B11	1	1
A2	B12	1	1
A2	B13	1	1
A2	B14	1	1
A2	B15	1	1
A2	B16	1	1
A2	B17	1	1
A2	B18	1	1
A2	B19	1	1
A2	B20	1	1
A2	B21	1	1
A2	B22	1	1
A2	B23	1	1
A2	B24	1	1
A2	B25	1	1
A2	B26	1	1
A2	B27	1	1
A2	B28	1	1
A2	B29	1	1
A2	B30	1	1
A2	B31	1	1
A2	B32	1	1
A2	B33	1	1
A2	B34	1	1
A2	B35	1	1
A2	B36	1	1
A2	B37	1	1
A2	B38	1	1
A2	B39	1	1
A2	B40	1	1
A2	B41	0.9	0.3
A2	B42	0.9	0.3
A2	B43	0.9	0.3
A2	B44	0.9	0.3
A2	B45	0.9	0.3
A2	B46	0.9	0.3
A2	B47	0.9	0.3
A2	B48	0.9	0.3
A2	B49	0.9	0.3
A2	B50	0.9	0.3
A2	B51	0.9	0.3
A2	B52	0.9	0.3
A2	B53	0.9	0.3
A2	B54	0.9	0.3
A2	B55	0.9	0.3
A2	B56	0.9	0.3
A2	B57	0.9	0.3
A2	B58	0.9	0.3
A2	B59	0.9	0.3
A2	B60	0.9	0.3
A2	B61	0.9	0.3
A2	B62	0.9	0.3
A2	B63	0.9	0.3
A2	B64	0.9	0.3
A2	B65	0.9	0.3
A2	B66	0.9	0.3
A2	B67	0.9	0.3
A2	B68	0.9	0.3
A2	B69	0.9	0.3
A2	B70	0.9	0.3
A2	B71	0.9	0.3
A2	B72	0.9	0.3
A2	B73	0.9	0.3
A2	B74	0.9	0.3
A2	B75	0.9	0.3
A2	B76	0.9	0.3
A2	B77	0.9	0.3
A2	B78	0.9	0.3
A2	B79	0.9	0.3
A2	B80	0.9	0.3
A3	B1	1	1
A3	B2	1	1
A3	B3	1	1
A3	B4	1	1
A3	B5	1	1
A3	B6	1	1
A3	B7	1	1
A3	B8	1	1
A3	B9	1	1
A3	B10	1	1
A3	B11	1	1
A3	B12	1	1
A3	B13	1	1
A3	B14	1	1
A3	B15	1	1
A3	B16	1	1
A3	B17	1	1
A3	B18	1	1
A3	B19	1	1
A3	B20	1	1
A3	B21	1	1
A3	B22	1	1
A3	B23	1	1
A3	B24	1	1
A3	B25	1	1
A3	B26	1	1
A3	B27	1	1
A3	B28	1	1
A3	B29	1	1
A3	B30	1	1
A3	B31	1	1
A3	B32	1	1
A3	B33	1	1
A3	B34	1	1
A3	B35	1	1
A3	B36	1	1
A3	B37	1	1
A3	B38	1	1
A3	B39	1	1
A3	B40	1	1
A3	B41	0.9	0.3
A3	B42	0.9	0.3
A3	B43	0.9	0.3
A3	B44	0.9	0.3
A3	B45	0.9	0.3
A3	B46	0.9	0.3
A3	B47	0.9	0.3
A3	B48	0.9	0.3
A3	B49	0.9	0.3
A3	B50	0.9	0.3
A3	B51	0.9	0.3
A3	B52	0.9	0.3
A3	B53	0.9	0.3
A3	B54	0.9	0.3
A3	B55	0.9	0.3
A3	B56	0.9	0.3
A3	B57	0.9	0.3
A3	B58	0.9	0.3
A3	B59	0.9	0.3
A3	B60	0.9	0.3
A3	B61	0.9	0.3
A3	B62	0.9	0.3
A3	B63	0.9	0.3
A3	B64	0.9	0.3
A3	B65	0.9	0.3
A3	B66	0.9	0.3
A3	B67	0.9	0.3
A3	B68	0.9	0.3
A3	B69	0.9	0.3
A3	B70	0.9	0.3
A3	B71	0.9	0.3
A3	B72	0.9	0.3
A3	B73	0.9	0.3
A3	B74	0.9	0.3
A3	B75	0.9	0.3
A3	B76	0.9	0.3
A3	B77	0.9	0.3
A3	B78	0.9	0.3
A3	B79	0.9	0.3
A3	B80	0.9	0.3
A4	B1	1	1
A4	B2	1	1
A4	B3	1	1
A4	B4	1	1
A4	B5	1	1
A4	B6	1	1
A4	B7	1	1
A4	B8	1	1
A4	B9	1	1
A4	B10	1	1
A4	B11	1	1
A4	B12	1	1
A4	B13	1	1
A4	B14	1	1
A4	B15	1	1
A4	B16	1	1
A4	B17	1	1
A4	B18	1	1
A4	B19	1	1
A4	B20	1	1
A4	B21	1	1
A4	B22	1	1
A4	B23	1	1
A4	B24	1	1
A4	B25	1	1
A4	B26	1	1
A4	B27	1	1
A4	B28	1	1
A4	B29	1	1
A4	B30	1	1
A4	B31	1	1
A4	B32	1	1
A4	B33	1	1
A4	B34	1	1
A4	B35	1	1
A4	B36	1	1
A4	B37	1	1
A4	B38	1	1
A4	B39	1	1
A4	B40	1	1
A4	B41	0.9	0.3
A4	B42	0.9	0.3
A4	B43	0.9	0.3
A4	B44	0.9	0.3
A4	B45	0.9	0.3
A4	B46	0.9	0.3
A4	B47	0.9	0.3
A4	B48	0.9	0.3
A4	B49	0.9	0.3
A4	B50	0.9	0.3
A4	B51	0.9	0.3
A4	B52	0.9	0.3
A4	B53	0.9	0.3
A4	B54	0.9	0.3
A4	B55	0.9	0.3
A4	B56	0.9	0.3
A4	B57	0.9	0.3
A4	B58	0.9	0.3
A4	B59	0.9	0.3
A4	B60	0.9	0.3
A4	B61	0.9	0.3
A4	B62	0.9	0.3
A4	B63	0.9	0.3
A4	B64	0.9	0.3
A4	B65	0.9	0.3
A4	B66	0.9	0.3
A4	B67	0.9	0.3
A4	B68	0.9	0.3
A4	B69	0.9	0.3
A4	B70	0.9	0.3
A4	B71	0.9	0.3
A4	B72	0.9	0.3
A4	B73	0.9	0.3
A4	B74	0.9	0.3
A4	B75	0.9	0.3
A4	B76	0.9	0.3
A4	B77	0.9	0.3
A4	B78	0.9	0.3
A4	B79	0.9	0.3
A4	B80	0.9	0.3
A5	B1	1	1
A5	B2	1	1
A5	B3	1	1
A5	B4	1	1
A5	B5	1	1
A5	B6	1	1
A5	B7	1	1
A5	B8	1	1
A5	B9	1	1
A5	B10	1	1
A5	B11	1	1
A5	B12	1	1
A5	B13	1	1
A5	B14	1	1
A5	B15	1	1
A5	B16	1	1
A5	B17	1	1
A5	B18	1	1
A5	B19	1	1
A5	B20	1	1
A5	B21	1	1
A5	B22	1	1
A5	B23	1	1
A5	B24	1	1
A5	B25	1	1
A5	B26	1	1
A5	B27	1	1
A5	B28	1	1
A5	B29	1	1
A5	B30	1	1
A5	B31	1	1
A5	B32	1	1
A5	B33	1	1
A5	B34	1	1
A5	B35	1	1
A5	B36	1	1
A5	B37	1	1
A5	B38	1	1
A5	B39	1	1
A5	B40	1	1
A5	B41	0.9	0.3
A5	B42	0.9	0.3
A5	B43	0.9	0.3
A5	B44	0.9	0.3
A5	B45	0.9	0.3
A5	B46	0.9	0.3
A5	B47	0.9	0.3
A5	B48	0.9	0.3
A5	B49	0.9	0.3
A5	B50	0.9	0.3
A5	B51	0.9	0.3
A5	B52	0.9	0.3
A5	B53	0.9	0.3
A5	B54	0.9	0.3
A5	B55	0.9	0.3
A5	B56	0.9	0.3
